"materialid","nombre"
"2061231","SH6_HB_S235JR+AR-CAT.A 1500x6000"
"2018215","SH6_HP_DD11-CAT.A_LO 1500x3000"
"2019868","SH8_HB_S235JR+AR-CAT.A 1500x3000"
"2189988","SHP1,5C10U20_HB_CS 1250x2500"
"2189993","SHP1,5C10U20_HB_CS 1500x3000"
"2169089","SHP1,5C20M40_HB_CS 1000x2000"
"2169121","SHP1,5C20U40_HB_CS 1000x2000"
"2187508","SHP1,5C20U40_HB_CS 1500x3000"
"2169122","SHP1,5C20U40_HD_CS 1000x2000"
"2190011","SHP1,5C30U60_HD_CS 1000x2000"
"2190016","SHP1,5C30U60_HD_CS 1500x3000"
"2169125","SHP1,5C40U80_HD_CS 1000x2000"
"2189992","SHP1,5R10T14_HB_CS 1500x3000"
"2063807","SHP1,5R10T14_HD_CS 1000x2000"
"2190014","SHP1,5R10T14_HD_CS 1500x3000"
"2190007","SHP1,5R15T18_HB_CS 1000x2000"
"2190110","SHP1,5R15T18_HG_CS 1000x2000"
"2190008","SHP1,5R16T25_HB_CS 1000x2000"
"2189984","SHP1,5R20T25_HB_CS 1000x2000"
"2189996","SHP1,5R20T25_HD_CS 1000x2000"
"2126144","SHP1,5R3T5_HB_CS 1000x2000"
"2126055","SHP1,5R3T5_HD_CS 1000x2000"
"2169158","SHP1,5R6T8,5_HB_CS 1000x2000"
"2189985","SHP1,5R6T8,5_HB_CS 1250x2500"
"2189990","SHP1,5R6T8,5_HB_CS 1500x3000"
"2189994","SHP1,5R6T8,5_HD_CS 1000x2000"
"2190012","SHP1,5R6T8,5_HD_CS 1500x3000"
"2189986","SHP1,5R8T11_HB_CS 1250x2500"
"2189991","SHP1,5R8T11_HB_CS 1500x3000"
"2189995","SHP1,5R8T11_HD_CS 1000x2000"
"2190013","SHP1,5R8T11_HD_CS 1500x3000"
"2189983","SHP1C20U40_CR_CS 1000x2000"
"2190120","SHP1D561_CR_CS 1000x2000"
"2189982","SHP1R10T14_CR_CS 1000x2000"
"2189981","SHP1R6T8,5_CR_CS 1000x2000"
"2188297","SHP1R8T11_CR_CS 1000x2000"
"2190009","SHP2R15T30_HB_CS 1000x2000"
"2190111","SHP2R15T30_HG_CS 1000x2000"
"2126161","SHP2R4T7_HB_CS 1000x2000"
"2061095","SHT4_HB_S235JR+AR-CAT.A"
"2117584","SHT5_HB_S235JR+AR-CAT.A 1000x2000"
"2117594","SHTR4_HB_S235JR+AR-CAT.A 1000x2000"
"2168885","SHTR8_HB_S235JR+AR-CAT.A 1000x2000"
"2000390","SQ10_HB_S275JR 6000"
"2000399","SQ12_HB_S275JR 6000"
"2000407","SQ14_HB_S275JR 6000"
"2000418","SQ16_HB_S275JR 6000"
"2000422","SQ18_HB_S275JR 6000"
"2000426","SQ20_HB_S275JR 6000"
"2000434","SQ25_HB_S275JR 6000"
"2000440","SQ30_HB_S275JR 6000"
"2000452","SQ40_HB_S275JR 6000"
"2133324","SS0,8_CR_DC01_Am_LO"
"2167480","SW0,5_HD_DX51D+Z275_MA_CE"
"2090024","SW0,8_HD_DX51D+Z275_MA_CE"
"2166440","SW1_CR_DC03_Am_LO"
"2162047","T100x100x11_HB_S275JR 6100"
"2163577","T30x30x4_HB_S275JR 6100"
"2163579","T35x35x4,5_HB_S275JR 6100"
"2163582","T40x40x5_HB_S275JR 6100"
"2161501","T50x50x6_HB_S275JR 6100"
"2163591","T60x60x7_HB_S275JR 6100"
"2163595","T70x70x8_HB_S275JR 6100"
"2163599","T80x80x9_HB_S275JR 6100"
"2180627","TCF 5492_PCF_S235JR"
"2180295","TCF 5PU1_PCF_S235JR_55x61x20x2,5 6000"
"2180296","TCF 5PU6_PCF_S235JR_40x40x12x1,5 6000"
"2175117","TCF 7491_PCF_S235JR 6000"
"2181974","TCF PDS17_HD_S235JR"
"2181973","TCF PDS17_PCF_S235JR"
"2181975","TCF PDS21_PCF_S235JR"
"2181976","TCF PDS26_HD_S235JR_44x40x30x1,5"
"2175119","TCF PDS26_PCF_S235JR_40x30x14x1,5 6000"
"2181978","TCF PDS28_HD_S235JR_50x50x35x1,5"
"2181977","TCF PDS28_PCF_S235JR_50x50x35x1,5"
"2181980","TCF PDS4_HD_S235JR_35x30x15x1,5"
"2181979","TCF PDS4_PCF_S235JR_35x30x15x1,5"
"2175166","TCF PS4_PCF_S235JR 6000"
"2175180","TCF PS6542_PCF_S235JR 6000"
"2167368","TCW100x2_PCF_10305-3_E220 6000"
"2167417","TCW100x2_ZCF_10305-3_E220 6000"
"2167236","TCW100x3_HBCF_10219_S275J0H 6000"
"2167379","TCW16x1,5_PCF_10305-3_E220 6000"
"2162175","TCW20x1,5_PCF_10305-3_E220 6000"
"2167422","TCW20x1,5_ZCF_10305-3_E220 6000"
"2162178","TCW25x1,5_PCF_10305-3_E220 6000"
"2167425","TCW25x1,5_ZCF_10305-3_E220 6000"
"2162181","TCW30x1,5_PCF_10305-3_E220 6000"
"2167428","TCW30x1,5_ZCF_10305-3_E220 6000"
"2019331","TCW33,7x3,2_M_HBCF_10255_S195T_SE 6000"
"2162182","TCW35x1,5_PCF_10305-3_E220 6000"
"2167443","TCW35x1,5_ZCF_10305-3_E220 6000"
"2162205","TCW40x1,5_PCF_10305-3_E220 6000"
